1999
I
Willem Jan van Steen     	 9859  77
Eline Klop               	 7229  82
Frank Zeggers            	 4128  37
Maarten van Raamsdonk    	 6167  62
Thilo Hijma              	 2713  50
Atze Pierre              	 6308  42
=AI
Natalia van Mantgem      	 8733  39
Guillaume Pierre         	 2432  72
Herbert Zeggers          	 6430  98
Femke Gude               	 6545  86
Rene Silvis Cividjian    	 3983  12
Maarten Gude             	 5871  41
Maarten van Zeist        	 5244  77
Jan Willem Zeggers       	  817  94
Herbert van Mantgem      	 6312  54
Andy van Zeist           	 9878  81
Willem Jan Zeggers       	 4267  23
Atze Fokkink             	 8495  16
Sven Gude                	 5169  72
Willem Jan Hijma         	 7296  69
Andy Kielmann            	 3139  59
Wartie Pierre            	 6272  24
Rene van Raamsdonk       	 7022  19
=ECTR
Femke van der Ploeg      	 5885  62
Willem Jan van der Ploeg 	 5329  95
Andy Silvis Cividjian    	 8772  91
Andy Hijma               	 2807  53
Wartie van Steen         	 8842  75
Thilo Fokkink            	 9452  14
Atze van Steen           	 2439  84
Matty Hijma              	 3820  48
Thilo Swarttouw          	 1673  55
Maarten Zeggers          	 2691  91
Guillaume Evers          	 9360  20
Frank Evers              	 9428  86
Femke van Mantgem        	 1223  71
Maarten van der Ploeg    	 7884  50
Femke Bos                	 8596  83
Henri Klop               	  436  74
Pieter van Steen         	 3214  29
-2004
I
Willem Jan van Raamsdonk 	 9315  32
Wan Swarttouw            	 6669  53
Atze van Mantgem         	 7492  50
Herbert Pierre           	 6796  80
Henri Evers              	 2711  91
Andy Bos                 	 1272  93
=W
Henri van Zeist          	 5752  63
Thilo Bos                	 2352  65
Atze Hijma               	 7350  97
Maarten Silvis Cividjian 	 4722  70
Frank van Mantgem        	 2680  50
Eline Zeggers            	  664  23
Rene Fokkink             	 4355  56
Jan Willem Klop          	 3454   3
Pieter van Zeist         	 5529  38
Frank Gude               	 6238  60
Femke Silvis Cividjian   	 6986  56
Jan Willem van Mantgem   	 1074  90
Rene Bos                 	 5308  51
=BWI
Atze van Zeist           	 1502  78
Andy Evers               	 4326  11
Andy Swarttouw           	 1058  40
Henri Gude               	 9459  71
Andy Pierre              	 8441  71
Frank Fokkink            	  335  49
Sven van Mantgem         	 1786  93
